,CityState,City.x,State.x,pop,City.y,Criteria.ID,State.y,StateAbb,DMA.Region,DMA.Region.Code
3458,"Porterville, CA",Porterville,CA,51830,Porterville,1014159,California,CA,"Fresno-Visalia, CA",866
3459,"Portland, IN",Portland,IN,6158,Portland,1017274,Indiana,IN,"Ft. Wayne, IN",509
3460,"Portland, ME",Portland,ME,62561,Portland,1019006,Maine,ME,"Portland-Auburn, ME",500
3461,"Portland, OR",Portland,OR,557706,Portland,1024543,Oregon,OR,"Portland, OR",820
3462,"Portland, TN",Portland,TN,11154,Portland,1026110,Tennessee,TN,"Nashville, TN",659
3463,"Portland, TX",Portland,TX,16490,Portland,1026705,Texas,TX,"Corpus Christi, TX",600
3464,"Portola Valley, CA",Portola Valley,CA,4532,Portola Valley,1014161,California,CA,"San Francisco-Oakland-San Jose, CA",807
3465,"Portsmouth, NH",Portsmouth,NH,20443,Portsmouth,1021947,New Hampshire,NH,"Boston, MA-Manchester, NH",506
3466,"Portsmouth, OH",Portsmouth,OH,20297,Portsmouth,1023945,Ohio,OH,"Charleston-Huntington, WV",564
3467,"Portsmouth, VA",Portsmouth,VA,100577,Portsmouth,1027255,Virginia,VA,"Norfolk-Portsmouth-Newport News,VA",544
3468,"Posen, IL",Posen,IL,4907,Posen,1016783,Illinois,IL,"Chicago, IL",602
3469,"Post Falls, ID",Post Falls,ID,26460,Post Falls,1016218,Idaho,ID,"Spokane, WA",881
3470,"Poteau, OK",Poteau,OK,8258,Poteau,1024309,Oklahoma,OK,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670
3471,"Potsdam, NY",Potsdam,NY,9841,Potsdam,1023283,New York,NY,"Watertown, NY",549
3472,"Pottstown, PA",Pottstown,PA,21288,Pottstown,1025214,Pennsylvania,PA,"Philadelphia, PA",504
3473,"Pottsville, PA",Pottsville,PA,14405,Pottsville,1025215,Pennsylvania,PA,"Wilkes Barre-Scranton, PA",577
3474,"Poughkeepsie, NY",Poughkeepsie,NY,29654,Poughkeepsie,1023285,New York,NY,"New York, NY",501
3475,"Poulsbo, WA",Poulsbo,WA,8149,Poulsbo,1027714,Washington,WA,"Seattle-Tacoma, WA",819
3476,"Poway, CA",Poway,CA,48858,Poway,1014162,California,CA,"San Diego, CA",825
